제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
유미의 세포들,9.93,이동건,이동건,2020,에피소드,로맨스,12세 이용가,유미는 지금 무슨 생각을 하고 있을까?그녀의 머릿속에서 바쁘게 움직이는 세포들 이야기!,"드라마&영화 원작웹툰,로맨스,완결로맨스",1
스피릿 핑거스,9.98,한경찰,한경찰,2018,스토리,로맨스,전체연령가,"평범한 여고생, 알록달록 이상한 그림모임에 들어가다!나만의 색을 찾아 떠나는 모험 이야기!","성장드라마,감성드라마,로맨스,완결무료,완결로맨스",2
신의 탑,9.89,SIU,SIU,2022,스토리,판타지,12세 이용가,자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년그리고 그런 소년을 시험하는 탑,"세계관,이능력배틀물,소년왕도물,먼치킨,판타지",3
갓 오브 하이스쿨,9.64,박용제,박용제,2022,스토리,판타지,12세 이용가,"전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.허구 100% 막장 액션의 끝!! 기대하시라!!!","이능력배틀물,먼치킨,판타지,완결무료,완결판타지",4
하이브 1~2,9.95,김규삼,김규삼,2016,스토리,판타지,15세 이용가,거대해진 곤충들이 인간을 습격한다! 원시시대로 돌아간 지구의 대기상태,"아포칼립스,판타지,완결판타지",5
기기괴괴,9.9,오성대,오성대,2022,옴니버스,스릴러,15세 이용가,<절벽귀> 오성대 작가의 신작 옴니버스 미스테리 스릴러.기묘하고 괴상한 이야기들.,"괴담,스릴러,완결스릴러",6
오!주예수여,9.98,아현,아현,2018,스토리,로맨스,12세 이용가,모든게 완벽한 여고생 주예수귀신을 보는 음침한 남고생 오수빈을 좋아해 구해주려다사고로 유체이탈 상황에 놓이게 되는데...,"로맨스,완결로맨스",7
악의는 없다,9.48,환쟁이,환쟁이,2016,스토리,스릴러,15세 이용가,"시골 마을, 한 남자가 죽었다.그 죽음의 진실을 파헤치려는 이와 덮으려는 자의 싸움.","스릴러,완결스릴러",8
공복의 저녁식사,9.75,김계란,김계란,2019,스토리,드라마,전체연령가,세상에는 왜 이렇게 맛있는 게 많을까만두와의 저녁식사를 통한 식탐소녀 복희의 좌충우돌 성장기,"드라마,완결드라마",9
복학왕,9.06,기안84,기안84,2021,스토리,드라마,15세 이용가,패션왕 우기명이 돌아왔다!즐거운 대학 생활?! 과연?!,"드라마,완결드라마",10
낚시신공,8.63,귀귀,귀귀,2015,스토리,개그,15세 이용가,전설이 돌아왔다! 허를 찌르는 실전 무공. 귀귀 작가의 컷툰 신작!,"개그,완결개그",11
후레자식,9.98,김칸비,황영찬,2016,스토리,스릴러,18세 이용가,'내 집안에 살인마가 산다.'본격 세대갈등 잔혹 스릴러,,12
2015 소름,9.83,웹툰작가,웹툰작가,2015,옴니버스,스릴러,12세 이용가,2015 여름특집 공포 단편선. 당신에게도 일어날 수 있는 이야기,"스릴러,완결무료,완결스릴러",13
용이산다,9.77,초,초,2020,스토리,드라마,전체연령가,드래곤이든 인간이든 그저 평범한 판타지 일상물.새로운 용(?)물 등장!,"드라마,완결드라마",14
밥 먹고 갈래요?,9.97,오묘,오묘,2019,에피소드,감성,전체연령가,이리 뛰고 저리 뛰고 깨지고 구르고. 지칠대로 지친 주중을 보내고 나면 찾아오는 주말 힐링 타임. 오묘 작가의 컷툰 신작!,"음식요리,감성,완결무료,완결감성",15
마주쳤다,9.83,하일권,하일권,2018,스토리,드라마,전체연령가,"기억해줘, 우리가 마주쳤던 순간들. 세상에 없던 나새끼 로맨스 액션툰, 마주쳤다","드라마,완결무료,완결드라마",16
한번 더 해요,9.91,미티,구구,2018,스토리,드라마,18세 이용가,결혼 8년차 부부. 성대광과 유선영. 대학시절 킹카 퀸카로 CC로 만나 결혼까지 골인했지만 이젠 지독한 현실에 서로에게 지쳐버린 권태기 부부일 뿐이었다. 그러던 어느 날..드라마 <고백부부> 원작 웹툰!,,17
내 ID는 강남미인!,9.83,기맹기,기맹기,2017,스토리,로맨스,12세 이용가,"못생긴 얼굴에서 미인으로 새롭게 태어난 그녀, 강미래! 그런데... 어디서 본 듯 한데?","최강자전,2015 최강자전,드라마&영화 원작웹툰,캠퍼스로맨스,로맨스,완결로맨스",18
슈퍼 시크릿,9.98,이온,이온,2018,에피소드,로맨스,전체연령가,평범한 여대생 은호와 조금 특별한 소꿉친구 견우의 술래잡기. 은호만 모르는 이웃집의 비밀들이 밝혀진다,"소꿉친구,친구>연인,인외존재,로맨스,완결로맨스",19
폰령,9.61,웹툰작가,웹툰작가,2016,스토리,스릴러,12세 이용가,2016 마지막 공포!절대 눈을 감지 마시오.,"스릴러,완결무료,완결스릴러",20
노블레스,9.62,손제호,이광수,2019,스토리,판타지,12세 이용가,820년간의 긴 수면기. 드디어 새로운 세상에 눈을 뜨다.그리고 새로운 세상의 새로운 사람들을 만나다.,"먼치킨,판타지,완결판타지",21
2011 미스테리 단편,8.45,웹툰작가,웹툰작가,2011,옴니버스,스릴러,12세 이용가,"네이버 웹툰 작가들이 들려주는 미스테리 괴담.올 여름, 당신의 등골이 오싹해진다.","스릴러,완결무료,완결스릴러",22
공주는 잠 못 이루고,9.95,하가,하가,2015,스토리,드라마,전체연령가,당신 없이는 살 수 없어나는 구원 받을 수 있습니까?,"드라마,완결드라마",23
내 ID는 강남미인! - 둘만의 시간,9.96,기맹기,기맹기,2018,에피소드,로맨스,12세 이용가,연애가 처음인 커플의 여행 계획♥회색 아기 고양이의 섹시한 컴백?!​<내 ID는 강남미인!> 드라마화 기념 특별외전,"로맨스,완결무료,완결로맨스",24
마음의소리,9.86,조석,조석,2020,에피소드,개그,전체연령가,솔직 담백 최강의 개그 만화 <마음의 소리>날 가져요 엉엉,"드라마&영화 원작웹툰,병맛,개그,완결개그",25
대학일기,9.97,자까,자까,2019,에피소드,개그,전체연령가,로망이 꽃피는 캠퍼스는 없다.극사실주의에 기반한 너무나 현실적인 우리의 대학일기,"개그,완결개그",26
스퍼맨 시즌1,9.94,하일권,하일권,2017,스토리,판타지,18세 이용가,사랑하는 여자친구와 드디어 첫날밤을 맞게된 김기두갑자기 정체모를 사람들에게 납치되고자신이 슈퍼정자를 가진 능력자라는 얘기를 듣게 되는데...,,27
